a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | > docker-software-delivery@1.0.0 start /app
a433-microservices-item-app-1  | > node ./bin/www
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | NODE_ENV: production
a433-microservices-item-app-1  | Connected to database
a433-microservices-item-db-1   | 2023-09-16T14:54:58.193+0000 I CONTROL  [initandlisten] MongoDB starting : pid=1 port=27017 dbpath=/data/db 64-bit host=39d2591c3186
a433-microservices-item-db-1   | 2023-09-16T14:54:58.193+0000 I CONTROL  [initandlisten] db version v3.6.23
a433-microservices-item-db-1   | 2023-09-16T14:54:58.193+0000 I CONTROL  [initandlisten] git version: d352e6a4764659e0d0350ce77279de3c1f243e5c
a433-microservices-item-db-1   | 2023-09-16T14:54:58.193+0000 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2g  1 Mar 2016
a433-microservices-item-db-1   | 2023-09-16T14:54:58.193+0000 I CONTROL  [initandlisten] allocator: tcmalloc
a433-microservices-item-db-1   | 2023-09-16T14:54:58.193+0000 I CONTROL  [initandlisten] modules: none
a433-microservices-item-db-1   | 2023-09-16T14:54:58.193+0000 I CONTROL  [initandlisten] build environment:
a433-microservices-item-db-1   | 2023-09-16T14:54:58.193+0000 I CONTROL  [initandlisten]     distmod: ubuntu1604
a433-microservices-item-db-1   | 2023-09-16T14:54:58.193+0000 I CONTROL  [initandlisten]     distarch: aarch64
a433-microservices-item-db-1   | 2023-09-16T14:54:58.193+0000 I CONTROL  [initandlisten]     target_arch: aarch64
a433-microservices-item-db-1   | 2023-09-16T14:54:58.193+0000 I CONTROL  [initandlisten] options: { net: { bindIpAll: true } }
a433-microservices-item-db-1   | 2023-09-16T14:54:58.194+0000 I STORAGE  [initandlisten] 
a433-microservices-item-db-1   | 2023-09-16T14:54:58.194+0000 I STORAGE  [initandlisten] ** WARNING: Using the XFS filesystem is strongly recommended with the WiredTiger storage engine
a433-microservices-item-db-1   | 2023-09-16T14:54:58.194+0000 I STORAGE  [initandlisten] **          See http://dochub.mongodb.org/core/prodnotes-filesystem
a433-microservices-item-db-1   | 2023-09-16T14:54:58.194+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=1454M,cache_overflow=(file_max=0M),session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),compatibility=(release="3.0",require_max="3.0"),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
a433-microservices-item-db-1   | 2023-09-16T14:54:58.285+0000 I STORAGE  [initandlisten] WiredTiger message [1694876098:285655][1:0xffff80221000], txn-recover: Set global recovery timestamp: 0
a433-microservices-item-db-1   | 2023-09-16T14:54:58.302+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1   | 2023-09-16T14:54:58.302+0000 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
a433-microservices-item-db-1   | 2023-09-16T14:54:58.302+0000 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
a433-microservices-item-db-1   | 2023-09-16T14:54:58.302+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1   | 2023-09-16T14:54:58.302+0000 I STORAGE  [initandlisten] createCollection: admin.system.version with provided UUID: 382736cb-fdfc-48be-82f4-1513ad9a9a38
a433-microservices-item-db-1   | 2023-09-16T14:54:58.308+0000 I COMMAND  [initandlisten] setting featureCompatibilityVersion to 3.6
a433-microservices-item-db-1   | 2023-09-16T14:54:58.309+0000 I STORAGE  [initandlisten] createCollection: local.startup_log with generated UUID: 0277138d-c8a9-4335-81b5-59eddb8b54f6
a433-microservices-item-db-1   | 2023-09-16T14:54:58.314+0000 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/data/db/diagnostic.data'
a433-microservices-item-db-1   | 2023-09-16T14:54:58.314+0000 I NETWORK  [initandlisten] listening via socket bound to 0.0.0.0
a433-microservices-item-db-1   | 2023-09-16T14:54:58.314+0000 I STORAGE  [LogicalSessionCacheRefresh] createCollection: config.system.sessions with generated UUID: 0a2f4f7c-f914-4120-b493-87d007dd046c
a433-microservices-item-db-1   | 2023-09-16T14:54:58.314+0000 I NETWORK  [initandlisten] listening via socket bound to /tmp/mongodb-27017.sock
a433-microservices-item-db-1   | 2023-09-16T14:54:58.314+0000 I NETWORK  [initandlisten] waiting for connections on port 27017
a433-microservices-item-db-1   | 2023-09-16T14:54:58.322+0000 I INDEX    [LogicalSessionCacheRefresh] build index on: config.system.sessions properties: { v: 2, key: { lastUse: 1 }, name: "lsidTTLIndex", ns: "config.system.sessions", expireAfterSeconds: 1800 }
a433-microservices-item-db-1   | 2023-09-16T14:54:58.322+0000 I INDEX    [LogicalSessionCacheRefresh] 	 building index using bulk method; build may temporarily use up to 500 megabytes of RAM
a433-microservices-item-db-1   | 2023-09-16T14:54:58.323+0000 I INDEX    [LogicalSessionCacheRefresh] build index done.  scanned 0 total records. 0 secs
a433-microservices-item-db-1   | 2023-09-16T14:55:01.781+0000 I NETWORK  [listener] connection accepted from 192.168.96.3:48490 #1 (1 connection now open)
a433-microservices-item-db-1   | 2023-09-16T14:55:01.836+0000 I NETWORK  [conn1] received client metadata from 192.168.96.3:48490 conn1: { driver: { name: "nodejs", version: "2.2.36" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "5.15.49-linuxkit-pr" }, platform: "Node.js v14.21.3, LE, mongodb-core: 2.1.20" }
